response,instruction,context,combined_column,combined_column_len
SELECT driver FROM table_name_23 WHERE laps = 12 AND grid < 10,Which driver has 12 laps and a grid of less than 10?,"CREATE TABLE table_name_23 (driver VARCHAR, laps VARCHAR, grid VARCHAR)","Instruction: Which driver has 12 laps and a grid of less than 10?
Context: CREATE TABLE table_name_23 (driver VARCHAR, laps VARCHAR, grid VARCHAR)
Response: SELECT driver FROM table_name_23 WHERE laps = 12 AND grid < 10",219
"SELECT MIN(overall) FROM table_name_33 WHERE position = ""offensive tackle""",Which Overall is the lowest one that has a Position of offensive tackle?,"CREATE TABLE table_name_33 (overall INTEGER, position VARCHAR)","Instruction: Which Overall is the lowest one that has a Position of offensive tackle?
Context: CREATE TABLE table_name_33 (overall INTEGER, position VARCHAR)
Response: SELECT MIN(overall) FROM table_name_33 WHERE position = ""offensive tackle""",242
"SELECT region FROM table_name_61 WHERE catalog = ""576 096-2""",Tell me the region for catalog of 576 096-2,"CREATE TABLE table_name_61 (region VARCHAR, catalog VARCHAR)","Instruction: Tell me the region for catalog of 576 096-2
Context: CREATE TABLE table_name_61 (region VARCHAR, catalog VARCHAR)
Response: SELECT region FROM table_name_61 WHERE catalog = ""576 096-2""",197
"SELECT COUNT(founded) FROM table_28243691_2 WHERE team_nickname = ""Comets""",In how many different years was the team nicknamed Comets founded?,"CREATE TABLE table_28243691_2 (founded VARCHAR, team_nickname VARCHAR)","Instruction: In how many different years was the team nicknamed Comets founded?
Context: CREATE TABLE table_28243691_2 (founded VARCHAR, team_nickname VARCHAR)
Response: SELECT COUNT(founded) FROM table_28243691_2 WHERE team_nickname = ""Comets""",244
"SELECT COUNT(record) FROM table_22669044_8 WHERE location_attendance = ""United Center 18,838""","Name the number of record for united center 18,838","CREATE TABLE table_22669044_8 (record VARCHAR, location_attendance VARCHAR)","Instruction: Name the number of record for united center 18,838
Context: CREATE TABLE table_22669044_8 (record VARCHAR, location_attendance VARCHAR)
Response: SELECT COUNT(record) FROM table_22669044_8 WHERE location_attendance = ""United Center 18,838""",252
SELECT SUM(against) FROM table_name_19 WHERE wins > 8 AND losses > 6,"What is the sum of Against, when Wins is greater than 8, and when Losses is greater than 6?","CREATE TABLE table_name_19 (against INTEGER, wins VARCHAR, losses VARCHAR)","Instruction: What is the sum of Against, when Wins is greater than 8, and when Losses is greater than 6?
Context: CREATE TABLE table_name_19 (against INTEGER, wins VARCHAR, losses VARCHAR)
Response: SELECT SUM(against) FROM table_name_19 WHERE wins > 8 AND losses > 6",267
"SELECT week_5 FROM table_name_96 WHERE week_2 = ""36.80"" AND week_4 = ""39.75""","What is week 5 when week 2 is 36.80, and week 4 is 39.75?","CREATE TABLE table_name_96 (week_5 VARCHAR, week_2 VARCHAR, week_4 VARCHAR)","Instruction: What is week 5 when week 2 is 36.80, and week 4 is 39.75?
Context: CREATE TABLE table_name_96 (week_5 VARCHAR, week_2 VARCHAR, week_4 VARCHAR)
Response: SELECT week_5 FROM table_name_96 WHERE week_2 = ""36.80"" AND week_4 = ""39.75""",242
"SELECT terminus FROM table_name_37 WHERE length = ""3.5km""",What terminus is 3.5km in lenght?,"CREATE TABLE table_name_37 (terminus VARCHAR, length VARCHAR)","Instruction: What terminus is 3.5km in lenght?
Context: CREATE TABLE table_name_37 (terminus VARCHAR, length VARCHAR)
Response: SELECT terminus FROM table_name_37 WHERE length = ""3.5km""",185
"SELECT COUNT(avg_start) FROM table_2387790_2 WHERE avg_finish = ""11.7""",How many years did he have an average finish of 11.7?,"CREATE TABLE table_2387790_2 (avg_start VARCHAR, avg_finish VARCHAR)","Instruction: How many years did he have an average finish of 11.7?
Context: CREATE TABLE table_2387790_2 (avg_start VARCHAR, avg_finish VARCHAR)
Response: SELECT COUNT(avg_start) FROM table_2387790_2 WHERE avg_finish = ""11.7""",225
"SELECT part_3 FROM table_1745843_8 WHERE class = ""7a""",What is the part 3 of the word in class 7a?,"CREATE TABLE table_1745843_8 (part_3 VARCHAR, class VARCHAR)","Instruction: What is the part 3 of the word in class 7a?
Context: CREATE TABLE table_1745843_8 (part_3 VARCHAR, class VARCHAR)
Response: SELECT part_3 FROM table_1745843_8 WHERE class = ""7a""",190
